J1,J2,J3,J4,J5,J6,floor_clear_mm,self_clear_mm,self_target,collision
90,2.9,115.7,79.7,161.7,57.9,-108.4,29.2,wrist.b.stl,1
90,85.4,92.7,25.3,128.3,149.5,50.0,26.5,wrist.b.stl,0
90,10.4,52.4,6.8,172.2,120.1,29.0,22.8,elbow.b.stl,0
90,173.6,95.7,144.4,67.4,63.7,45.6,32.3,wrist.b.stl,0
90,68.1,118.4,64.7,162.1,177,50.0,27.9,wrist.b.stl,0
90,5.5,34.9,20.2,7.6,41,50.0,27.2,wrist.b.stl,0
90,80.4,150.7,39.9,88.9,167.3,50.0,34.1,wrist.b.stl,0
90,120.1,143.7,99.2,176.5,106,50.0,24.2,wrist.b.stl,0
90,8.2,35.6,72.9,108.2,138.9,50.0,32.0,wrist.b.stl,0
90,74.4,127.8,142.2,57.1,176.3,50.0,28.0,wrist.b.stl,0
90,116.9,158.6,100.1,133.5,138.7,50.0,27.0,wrist.b.stl,0
90,163.5,27.1,100.5,77.1,166.2,-37.9,33.3,wrist.b.stl,1
90,18.9,176.9,157.6,13.3,88.4,14.1,23.4,wrist.b.stl,0
90,129.2,132.9,163.2,144,56,50.0,26.4,wrist.b.stl,0
90,89.7,126.3,24.9,34.9,86.6,50.0,20.1,wrist.b.stl,0
90,53.7,155.3,105.5,62.8,152.8,50.0,28.8,wrist.b.stl,0
90,144.9,179.7,152.5,74.6,22.9,50.0,29.4,wrist.b.stl,0
90,151.3,10.8,63,165.6,172.9,14.6,28.1,wrist.b.stl,0
90,115.3,124,7.6,92.6,98.4,50.0,30.2,wrist.b.stl,0
90,61.2,12.3,41.2,64.4,78.3,50.0,28.9,wrist.b.stl,0
90,106.4,130,57.2,59.2,3.5,50.0,28.7,wrist.b.stl,0
90,7.4,46.4,133.2,113.1,138.6,50.0,30.6,wrist.b.stl,0
90,138.4,154.2,129.7,176.2,161.8,50.0,28.3,wrist.b.stl,0
90,105.6,105.9,6.2,179.7,23.7,50.0,17.7,elbow.b.stl,0
90,133.3,147.8,67.1,35.4,17.8,50.0,21.6,wrist.b.stl,0
90,134.7,81.5,128.5,164.8,26.4,50.0,24.7,wrist.b.stl,0
90,165.5,74.1,54.9,169.8,178.3,50.0,28.7,wrist.b.stl,0
90,35.8,118.2,19.2,117.2,148.9,50.0,28.9,wrist.b.stl,0
90,123.2,75.1,69,70.8,106.1,50.0,27.1,wrist.b.stl,0
90,158.7,167.2,9.6,32.7,20.2,50.0,22.3,wrist.b.stl,0
90,34.8,62.4,91.2,113.3,131.8,50.0,31.3,wrist.b.stl,0
90,160.2,178,119.3,152.2,140,50.0,24.5,wrist.b.stl,0
90,55.4,157.6,7.7,0.1,49.3,50.0,27.2,wrist.b.stl,0
90,83.2,114.9,18.3,121.1,144.3,50.0,28.0,wrist.b.stl,0
90,33.4,74.7,93.6,81.3,144,50.0,31.7,wrist.b.stl,0
90,172.9,143.8,14,144.9,12,50.0,22.3,wrist.b.stl,0
90,42.5,27.6,35.6,95.1,120.9,50.0,30.6,wrist.b.stl,0
90,84.7,172.7,43.3,137.4,156.6,50.0,25.7,wrist.b.stl,0
90,101.2,82.1,107.3,77.2,99.9,50.0,28.8,wrist.b.stl,0
90,75,72.1,125.2,16.7,30,50.0,25.8,wrist.b.stl,0
90,153.2,138.8,50.7,67.9,166.7,50.0,31.6,wrist.b.stl,0
90,147.3,110.6,39.9,8,77.6,50.0,24.1,wrist.b.stl,0
90,121.1,149.1,153.5,5.9,43.9,50.0,27.5,wrist.b.stl,0
90,61,34,144.5,138.1,93,50.0,20.2,wrist.b.stl,0
90,176.9,25.9,161.9,21,29.4,-77.9,-28.3,base.stl,1
90,125.3,19.7,101.9,75.6,131.1,50.0,28.5,wrist.b.stl,0
90,162.1,138.6,152.9,5.9,55.8,50.0,28.0,wrist.b.stl,0
90,92.8,74.9,41.6,55.4,170.2,50.0,27.9,wrist.b.stl,0
90,53,63.7,0.7,152.1,27.9,50.0,22.7,wrist.b.stl,0
90,36.7,45.9,159.2,37.2,143.6,50.0,26.3,wrist.b.stl,0
90,145.4,166.9,20.8,39.1,133.7,50.0,24.3,wrist.b.stl,0
